"ServerName","Processor","Model","Manufacturer","PhysicalCores","CPU_L2CacheSize","CPU_L3CacheSize","Sockets","LogicalCores","OS_Name","OS_Version","TotalPhysical_Memory_GB","TotalVirtual_Memory_MB","TotalVisable_Memory_MB"
"OCR-SQLPRD-02","Intel(R) Xeon(R) CPU E5-2683 v4 @ 2.10GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #006","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","25.5","24"
"OCR-SQLPRD-02","Intel(R) Xeon(R) CPU E5-2683 v4 @ 2.10GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #007","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","25.5","24"
"OCR-SQLPRD-03","Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #000","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","25.5","24"
"OCR-SQLPRD-03","Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #001","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","25.5","24"
"OCR-SQLPRD-03","Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #002","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","25.5","24"
"OCR-SQLPRD-03","Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #003","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","25.5","24"
"OCR-SQLPRD-03","Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #004","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","25.5","24"
"OCR-SQLPRD-03","Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #005","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","25.5","24"
"OCR-SQLPRD-03","Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #006","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","25.5","24"
"OCR-SQLPRD-03","Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #007","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","25.5","24"
"OCR-SQLPRD-04","Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #000","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","49","24"
"OCR-SQLPRD-04","Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #001","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","49","24"
"OCR-SQLPRD-04","Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #002","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","49","24"
"OCR-SQLPRD-04","Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #003","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","49","24"
"OCR-SQLPRD-04","Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #004","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","49","24"
"OCR-SQLPRD-04","Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #005","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","49","24"
"OCR-SQLPRD-04","Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #006","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","49","24"
"OCR-SQLPRD-04","Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #007","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","49","24"
"OCR-SQLPRD-05","Intel(R) Xeon(R) CPU E5-2683 v4 @ 2.10GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #000","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","25.87","24"
"OCR-SQLPRD-05","Intel(R) Xeon(R) CPU E5-2683 v4 @ 2.10GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #001","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","25.87","24"
"OCR-SQLPRD-05","Intel(R) Xeon(R) CPU E5-2683 v4 @ 2.10GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #002","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","25.87","24"
"OCR-SQLPRD-05","Intel(R) Xeon(R) CPU E5-2683 v4 @ 2.10GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #003","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","25.87","24"
"OCR-SQLPRD-05","Intel(R) Xeon(R) CPU E5-2683 v4 @ 2.10GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #004","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","25.87","24"
"OCR-SQLPRD-05","Intel(R) Xeon(R) CPU E5-2683 v4 @ 2.10GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #005","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","25.87","24"
"OCR-SQLPRD-05","Intel(R) Xeon(R) CPU E5-2683 v4 @ 2.10GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #006","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","25.87","24"
"OCR-SQLPRD-05","Intel(R) Xeon(R) CPU E5-2683 v4 @ 2.10GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #007","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","25.87","24"
"OCR-SQLPRD-06","Intel(R) Xeon(R) CPU E5-2683 v4 @ 2.10GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #000","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","49","24"
"OCR-SQLPRD-06","Intel(R) Xeon(R) CPU E5-2683 v4 @ 2.10GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #001","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","49","24"
"OCR-SQLPRD-06","Intel(R) Xeon(R) CPU E5-2683 v4 @ 2.10GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #002","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","49","24"
"OCR-SQLPRD-06","Intel(R) Xeon(R) CPU E5-2683 v4 @ 2.10GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #003","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","49","24"
"OCR-SQLPRD-06","Intel(R) Xeon(R) CPU E5-2683 v4 @ 2.10GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #004","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","49","24"
"OCR-SQLPRD-06","Intel(R) Xeon(R) CPU E5-2683 v4 @ 2.10GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #005","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","49","24"
"OCR-SQLPRD-06","Intel(R) Xeon(R) CPU E5-2683 v4 @ 2.10GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #006","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","49","24"
"OCR-SQLPRD-06","Intel(R) Xeon(R) CPU E5-2683 v4 @ 2.10GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #007","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","49","24"
"OCR-SQLPRD-07","Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #000","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","40","82","40"
"OCR-SQLPRD-07","Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #001","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","40","82","40"
"OCR-SQLPRD-07","Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #002","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","40","82","40"
"OCR-SQLPRD-07","Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #003","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","40","82","40"
"OCR-SQLPRD-07","Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #004","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","40","82","40"
"OCR-SQLPRD-07","Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #005","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","40","82","40"
"OCR-SQLPRD-07","Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #006","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","40","82","40"
"OCR-SQLPRD-07","Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #007","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","40","82","40"
"OCR-SQLPRD-08","Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #000","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","40","82","40"
"OCR-SQLPRD-08","Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #001","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","40","82","40"
"OCR-SQLPRD-08","Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #002","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","40","82","40"
"OCR-SQLPRD-08","Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #003","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","40","82","40"
"OCR-SQLPRD-08","Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #004","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","40","82","40"
"OCR-SQLPRD-08","Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #005","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","40","82","40"
"OCR-SQLPRD-08","Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #006","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","40","82","40"
"OCR-SQLPRD-08","Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #007","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","40","82","40"
"OCR-SQLPRD-09","Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #000","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","40","82","40"
"OCR-SQLPRD-09","Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #001","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","40","82","40"
"OCR-SQLPRD-09","Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #002","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","40","82","40"
"OCR-SQLPRD-09","Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #003","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","40","82","40"
"OCR-SQLPRD-09","Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #004","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","40","82","40"
"OCR-SQLPRD-09","Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #005","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","40","82","40"
"OCR-SQLPRD-09","Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #006","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","40","82","40"
"OCR-SQLPRD-09","Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #007","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","40","82","40"
"OCR-SQLPRD-10","Intel(R) Xeon(R) Gold 6254 CPU @ 3.10GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #000","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","49","24"
"OCR-SQLPRD-10","Intel(R) Xeon(R) Gold 6254 CPU @ 3.10GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #001","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","49","24"
"OCR-SQLPRD-10","Intel(R) Xeon(R) Gold 6254 CPU @ 3.10GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #002","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","49","24"
"OCR-SQLPRD-10","Intel(R) Xeon(R) Gold 6254 CPU @ 3.10GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #003","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","49","24"
"OCR-SQLPRD-10","Intel(R) Xeon(R) Gold 6254 CPU @ 3.10GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #004","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","49","24"
"OCR-SQLPRD-10","Intel(R) Xeon(R) Gold 6254 CPU @ 3.10GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #005","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","49","24"
"OCR-SQLPRD-10","Intel(R) Xeon(R) Gold 6254 CPU @ 3.10GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #006","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","49","24"
"OCR-SQLPRD-10","Intel(R) Xeon(R) Gold 6254 CPU @ 3.10GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #007","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","49","24"
"OCR-SQLPRD-11","Intel(R) Xeon(R) CPU E5-2683 v4 @ 2.10GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #000","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","49","24"
"OCR-SQLPRD-11","Intel(R) Xeon(R) CPU E5-2683 v4 @ 2.10GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #001","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","49","24"
"OCR-SQLPRD-11","Intel(R) Xeon(R) CPU E5-2683 v4 @ 2.10GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #002","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","49","24"
"OCR-SQLPRD-11","Intel(R) Xeon(R) CPU E5-2683 v4 @ 2.10GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #003","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","49","24"
"OCR-SQLPRD-11","Intel(R) Xeon(R) CPU E5-2683 v4 @ 2.10GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #004","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","49","24"
"OCR-SQLPRD-11","Intel(R) Xeon(R) CPU E5-2683 v4 @ 2.10GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #005","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","49","24"
"OCR-SQLPRD-11","Intel(R) Xeon(R) CPU E5-2683 v4 @ 2.10GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #006","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","49","24"
"OCR-SQLPRD-11","Intel(R) Xeon(R) CPU E5-2683 v4 @ 2.10GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #007","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","49","24"
"OCR-SQLPRD-12","Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #000","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","25.5","24"
"OCR-SQLPRD-12","Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #001","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","25.5","24"
"OCR-SQLPRD-12","Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #002","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","25.5","24"
"OCR-SQLPRD-12","Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #003","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","25.5","24"
"OCR-SQLPRD-12","Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #004","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","25.5","24"
"OCR-SQLPRD-12","Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #005","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","25.5","24"
"OCR-SQLPRD-12","Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #006","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","25.5","24"
"OCR-SQLPRD-12","Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #007","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","24","25.5","24"
